gene,Taxonomic_ID,Body_Site,Site_Type,Trimethoprim-resistant dihydrofolate reductase DfrA42,baeR,emrR,Escherichia coli mdfA,Klebsiella pneumoniae KpnF,rsmA,CRP,Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,mdtC,acrD,Klebsiella pneumoniae KpnE,Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,Escherichia coli marR mutant conferring antibiotic resistance,mdtB,msbA,pmrF,marA,Escherichia coli ampH,acrB,ErmX,APH(3')-Ia,cmx,msrA,mupA,fusB,mecI,mecR1,Erm(36),arlR,mepR,Staphylococcus aureus norA,arlS,tet(38),Staphylococcus aureus LmrS,mepA,Trimethoprim-resistant dihydrofolate reductase DfrA43,Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin,vgaA,evgA,gadW,mdtH,H-NS,cpxA,Escherichia coli soxS with mutation conferring antibiotic resistance,bacA,mdtN,kdpE,Escherichia coli GlpT with mutation conferring resistance to fosfomycin,emrA,Escherichia coli acrA,mdtG,emrB,yojI,ugd,mdtP,mdtO,mdtF,mdtA,gadX,evgS,eptA,emrY,emrK,acrS,acrF,Escherichia coli soxR with mutation conferring antibiotic resistance,Escherichia coli emrE,Escherichia coli acrR with mutation conferring multidrug antibiotic resistance,Escherichia coli ampC,tolC,mdtE,acrE,baeS,fusC,qacB,qacA,mphC,dfrG,ANT(4')-Ib,mecA,ErmO,sul1,ANT(9)-Ia,ErmA,Staphylococcus aureus FosB,Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin,Staphylococcus aureus murA with mutation conferring resistance to fosfomycin,AAC(6')-Ie-APH(2'')-Ia,ErmC,CMY-97,arnA,mdtM,FusF,ACC-3,Corynebacterium striatum tetA,tet(W/N/W),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),aad(6),APH(3')-IIIa,SAT-4,APH(3'')-Ib,APH(6)-Id,qacEdelta1,AAC(6')-Ib10,ANT(3'')-IIa,vgaALC,mphO,GOB-6,Erm(35),APH(3')-XV,DHA-1,tetR,tet(B),Morganella morganii gyrB conferring resistance to fluoroquinolone,catII from Escherichia coli K-12,fusD,lnuA,LlmA 23S ribosomal RNA methyltransferase,tetB(48),tetA(48),rphB,mphI,farB,cpaA,VgbC,VatI,TaeA,CatU,BahA,AAC(2')-IIb,AAC(6')-34,vanSD,BcI,FosB,vanRF,tet(41),AAC(6')-Ic,SRT-2,tetA(60),tetB(60),ACT-17,ramA,lsaA,emeA,efrB,dfrE,efrA,APH(4)-Ib,Escherichia coli ampC1 beta-lactamase,Bifidobacteria intrinsic ileS conferring resistance to mupirocin,CMY-129,SHV-110,LptD,SHV-11,OmpA,Klebsiella pneumoniae acrA,FosA6,Klebsiella pneumoniae OmpK37,adeF,CMY-132,FosA5,oqxA,Klebsiella pneumoniae KpnG,eptB,ArnT,oqxB,Escherichia coli UhpT with mutation conferring resistance to fosfomycin,Klebsiella pneumoniae KpnH,dfrC,norA,PC1 beta-lactamase (blaZ),mgrA
LK355.rgi,Aerococcus,Axillary-groin,Moist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK1188.rgi,Aestuariimicrobium,Alar crease,Sebaceous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK1347.rgi,Anthrobacter,Nare,Moist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK210.rgi,Bacillus,Axillary-groin,Moist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK464.rgi,Bacillus,Alar crease,Sebaceous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK538.rgi,Bacillus,Back,Sebaceous,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK716.rgi,Bacillus,Antecubital fossa,Moist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK1024.rgi,Brachybacterium,Alar crease,Sebaceous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK1045.rgi,Brachybacterium,Alar crease,Sebaceous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK1085.rgi,Brachybacterium,Axillary-groin,Moist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
