DATASET_MULTIBAR
SEPARATOR TAB
COLOR	#000000
DATASET_LABEL	GCFs
FIELD_LABELS	CDPS	LAP	NA	NAGGN	NAPAA	NRPS	NRPS-like	PKS-like	RRE-containing	RaS-RiPP	RiPP-like	T1PKS	T2PKS	T3PKS	acyl_amino_acids	arylpolyene	betalactone	blactam	bottromycin	butyrolactone	cyclic-lactone-autoinducer	ectoine	epipeptide	hglE-KS	hserlactone	hybrid	ladderane	lanthipeptide-class-i	lanthipeptide-class-ii	lanthipeptide-class-iii	lanthipeptide-class-iv	lanthipeptide-class-v	lassopeptide	linaridin	microviridin	nucleoside	phenazine	phosphonate	proteusin	ranthipeptide	redox-cofactor	resorcinol	sactipeptide	siderophore	terpene	thioamide-NRP	thioamitides	thiopeptide	transAT-PKS	transAT-PKS-like	tropodithietic-acid
FIELD_COLORS	#EAE8BF	#96B1BE	#F8B662	#E8BF63	#D8C965	#C7D267	#B7DB68	#EED0CE	#CEB8CE	#EBD2DF	#D4CCD5	#BC82BD	#BF99BE	#C3B1C0	#8DD3C7	#A6DCC2	#BFE6BE	#D8F0B9	#F1F9B5	#F8F8B6	#DBD9C8	#CDCAD0	#BFBBD9	#CAAEC5	#D7A1AE	#000000	#84AFCF	#E59497	#F28880	#F18379	#D68E8F	#BB99A4	#B2B2A5	#CDB28C	#E8B374	#BEDB7C	#CED798	#DED3B3	#FACDE4	#F2D0E1	#E3D5DC	#DBD8D9	#C8A5C8	#C191C2	#C6C8C2	#CAE0C4	#D2EBBA	#DDEBA7	#E8EC94	#F3EC81	#FFED6F
DATA
SMGC_295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SMGC_327	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMGC_72	0	0	0	0	0	5	1	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0
SMGC_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SMGC_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMGC_256	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
SMGC_243	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SMGC_41	0	0	0	0	0	7	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
