sample	bgc	bgc_class	rpkm_norm	coverage	sample_subject	sample_bodysite
LKMN002-3-90_S289	"gb|LK1289_14.region001|GC_DNA--Entryname=T1PKS--OS=length=68367--SMASHregion=region001--NR=22--BG=11"	T1PKS	14.7740241033	0.937354497354	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_159.c00185_NODE_28...region001|GC_DNA--Entryname=NAPAA--OS=2868_length_3131_cov_15_989597--SMASHregion=region001--NR=1"	NAPAA	9.87810878502	0.8497922659	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_436.c00076_NODE_14...region001|GC_DNA--Entryname=RRE-containing--OS=1441_length_6226_cov_3_202236--SMASHregion=region001--NR=1"	RRE-containing	10.6801882069	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK441_6.region001|GC_DNA--Entryname=betalactone--OS=length=52972--SMASHregion=region001--NR=58"	betalactone	12.8945941071	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK960_53.region001|GC_DNA--Entryname=arylpolyene--OS=length=18083--SMASHregion=region001--NR=1"	arylpolyene	9.90273303471	0.951765719208	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1246_21.region001|GC_DNA--Entryname=siderophore--OS=length=27189--SMASHregion=region001--NR=4"	siderophore	10.6731406398	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1147_1.region001|GC_DNA--Entryname=terpene--OS=length=100600--SMASHregion=region001--NR=62--BG=3"	terpene	10.5326666625	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_332.c01839_NODE_21...region001|GC_DNA--Entryname=siderophore--OS=2118_length_1035_cov_1_927551--SMASHregion=region001--NR=1"	siderophore	12.8488026346	0.985641025641	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_271.c00005_NODE_7_...region001|GC_DNA--Entryname=NAPAA--OS=7_length_80448_cov_18_672434--SMASHregion=region001--NR=4"	NAPAA	12.3739907031	0.997628458498	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK430_33.region001|GC_DNA--Entryname=NAPAA--OS=length=26564--SMASHregion=region001--NR=64--BG=4"	NAPAA	11.8256184206	0.989021956088	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK941_25.region001|GC_DNA--Entryname=RRE-containing--OS=length=34065--SMASHregion=region001--NR=1"	RRE-containing	9.4098436767	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_436.c00053_NODE_11...region001|GC_DNA--Entryname=ranthipeptide--OS=1153_length_7800_cov_4_012653--SMASHregion=region001--NR=2"	ranthipeptide	14.1891581217	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1382_15.region001|GC_DNA--Entryname=siderophore--OS=length=40529--SMASHregion=region001--NR=56"	siderophore	11.6966156702	0.959694989107	S033	Moist_Um
LKMN002-3-90_S289	"gb|LK1134_11.region001|GC_DNA--Entryname=siderophore--OS=length=74643--SMASHregion=region001--NR=3"	siderophore	11.1596797022	1.0	S033	Moist_Um
LKMN002-3-90_S289	"gb|SMGC_35.c00082_NODE_26...region001|GC_DNA--Entryname=NAPAA--OS=267_length_10300_cov_6_588287--SMASHregion=region001--NR=7--BG=2"	NAPAA	12.5447298315	0.988821138211	S033	Moist_Um
